Iteration,Timestep,Date,Variable,Jurisdiction,AgeMin,AgeMax,Sex,Value
1,303,26/11/2020,Cases,Canada - British Columbia,,,,753
1,304,27/11/2020,Cases,Canada - British Columbia,,,,702
1,305,28/11/2020,Cases,Canada - British Columbia,,,,822
1,306,29/11/2020,Cases,Canada - British Columbia,,,,633
1,307,30/11/2020,Cases,Canada - British Columbia,,,,537
1,308,01/12/2020,Cases,Canada - British Columbia,,,,776
1,309,02/12/2020,Cases,Canada - British Columbia,,,,758
1,310,03/12/2020,Cases,Canada - British Columbia,,,,682
1,311,04/12/2020,Cases,Canada - British Columbia,,,,586
1,312,05/12/2020,Cases,Canada - British Columbia,,,,773
1,313,06/12/2020,Cases,Canada - British Columbia,,,,577
1,314,07/12/2020,Cases,Canada - British Columbia,,,,580
1,315,08/12/2020,Cases,Canada - British Columbia,,,,653
1,316,09/12/2020,Cases,Canada - British Columbia,,,,763
1,317,10/12/2020,Cases,Canada - British Columbia,,,,778
1,318,11/12/2020,Cases,Canada - British Columbia,,,,712
1,319,12/12/2020,Cases,Canada - British Columbia,,,,738
1,320,13/12/2020,Cases,Canada - British Columbia,,,,560
1,321,14/12/2020,Cases,Canada - British Columbia,,,,514
1,322,15/12/2020,Cases,Canada - British Columbia,,,,586
1,323,16/12/2020,Cases,Canada - British Columbia,,,,636
1,324,17/12/2020,Cases,Canada - British Columbia,,,,622
1,325,18/12/2020,Cases,Canada - British Columbia,,,,636
1,326,19/12/2020,Cases,Canada - British Columbia,,,,577
1,327,20/12/2020,Cases,Canada - British Columbia,,,,503
1,328,21/12/2020,Cases,Canada - British Columbia,,,,405
1,329,22/12/2020,Cases,Canada - British Columbia,,,,511
1,330,23/12/2020,Cases,Canada - British Columbia,,,,533
1,331,24/12/2020,Cases,Canada - British Columbia,,,,555
1,332,25/12/2020,Cases,Canada - British Columbia,,,,405
1,333,26/12/2020,Cases,Canada - British Columbia,,,,331
1,334,27/12/2020,Cases,Canada - British Columbia,,,,476
1,335,28/12/2020,Cases,Canada - British Columbia,,,,397
1,336,29/12/2020,Cases,Canada - British Columbia,,,,616
1,337,30/12/2020,Cases,Canada - British Columbia,,,,597
1,338,31/12/2020,Cases,Canada - British Columbia,,,,615
1,339,01/01/2021,Cases,Canada - British Columbia,,,,599
1,340,02/01/2021,Cases,Canada - British Columbia,,,,412
1,341,03/01/2021,Cases,Canada - British Columbia,,,,537
1,342,04/01/2021,Cases,Canada - British Columbia,,,,519
1,343,05/01/2021,Cases,Canada - British Columbia,,,,565
1,344,06/01/2021,Cases,Canada - British Columbia,,,,608
1,345,07/01/2021,Cases,Canada - British Columbia,,,,546
1,346,08/01/2021,Cases,Canada - British Columbia,,,,529
1,347,09/01/2021,Cases,Canada - British Columbia,,,,531
1,348,10/01/2021,Cases,Canada - British Columbia,,,,450
1,349,11/01/2021,Cases,Canada - British Columbia,,,,406
1,350,12/01/2021,Cases,Canada - British Columbia,,,,512
1,351,13/01/2021,Cases,Canada - British Columbia,,,,520
1,352,14/01/2021,Cases,Canada - British Columbia,,,,502
1,353,15/01/2021,Cases,Canada - British Columbia,,,,573
1,354,16/01/2021,Cases,Canada - British Columbia,,,,460
1,355,17/01/2021,Cases,Canada - British Columbia,,,,316
1,356,18/01/2021,Cases,Canada - British Columbia,,,,382
1,357,19/01/2021,Cases,Canada - British Columbia,,,,512
1,358,20/01/2021,Cases,Canada - British Columbia,,,,560
1,359,21/01/2021,Cases,Canada - British Columbia,,,,517
1,360,22/01/2021,Cases,Canada - British Columbia,,,,495
1,361,23/01/2021,Cases,Canada - British Columbia,,,,490
1,362,24/01/2021,Cases,Canada - British Columbia,,,,359
1,363,25/01/2021,Cases,Canada - British Columbia,,,,333
1,364,26/01/2021,Cases,Canada - British Columbia,,,,538
1,365,27/01/2021,Cases,Canada - British Columbia,,,,504
1,366,28/01/2021,Cases,Canada - British Columbia,,,,522
1,367,29/01/2021,Cases,Canada - British Columbia,,,,420
1,368,30/01/2021,Cases,Canada - British Columbia,,,,484
1,369,31/01/2021,Cases,Canada - British Columbia,,,,291
1,370,01/02/2021,Cases,Canada - British Columbia,,,,402
1,371,02/02/2021,Cases,Canada - British Columbia,,,,403
1,372,03/02/2021,Cases,Canada - British Columbia,,,,474
1,373,04/02/2021,Cases,Canada - British Columbia,,,,473
1,374,05/02/2021,Cases,Canada - British Columbia,,,,451
1,375,06/02/2021,Cases,Canada - British Columbia,,,,483
1,376,07/02/2021,Cases,Canada - British Columbia,,,,360
1,377,08/02/2021,Cases,Canada - British Columbia,,,,384
